"","n","Depressed_mood","Lack_of_interest","Worthlessness_or_guilt","Thoughts_of_death","Neutral","Other","tweet"
"53",53,13,3,7,2,28,47,"There are plenty of happy people out there. They're called idiots."
"54",54,62,5,11,6,4,12,"growing apart from someone you really cared about, and looking back on the relationship you had with them is such a hurting, empty feeling."
"55",55,23,3,11,3,19,41,"i'm one of the most confusing, misunderstood and difficult person you'll ever meet."
"56",56,20,6,9,2,21,42,"it's crazy how you could do something nice for someone all the time and they never notice but if you make one mistake it’s never forgotten."
"57",57,12,4,4,1,53,26,"like do people actually sus out someone's tweets and accounts before following them. obviously not!"
"58",58,21,10,11,1,7,50,"sick of explaining myself, i'm so over it!"
"59",59,21,0,7,4,7,61,"i really need to vent, but i'll keep my composer and say nothing because if i did it wouldn't be nice."
"60",60,56,1,4,4,25,10,"RT @00: Depression can affect anyone. It is no joke, and if you or someone you know shows signs of depression, don't wait to get…"
"61",61,12,3,7,2,23,53,"RT @00: if you have the ignorance to overlook me, you don't have the mental capacity to understand me."
"62",62,59,17,8,0,11,5,"i haven’t felt okay for a really long time and that’s okay because i’m not expecting anything anymore."
"63",63,13,70,4,1,9,3,"losing the capacity to care."
"64",64,11,1,6,2,48,32,"The more you worry on the past is time you're wasting from enjoying things right in front of you.  -rc http://00"
"65",65,20,2,4,5,28,41,"so many things i want to say to you but i just don’t know how."
"66",66,7,3,5,4,26,55,"H.A.T.E.R.S. = Having Anger Towards Everyone Reaching Success!"
"67",67,24,8,36,1,13,18,"don't know why i waste so much energy trying, when you make it clear you don't need or want me."
"68",68,32,4,23,0,10,31,"i constantly get the urge to text you everyday, but i remember i don’t mean anything to you anymore and that hurts."
"69",69,16,2,5,3,7,67,"@00 get your fucking life and stay out off mine"
"70",70,16,6,13,1,14,50,"sext: tell me you hate me so I know it's real"
"71",71,18,4,4,3,38,33,"need some time out <3"
"72",72,25,1,4,0,21,49,"please don't expect me to always be good and kind and loving there are times when i'll be cold and thoughtless and really hard to understand"
"73",73,24,1,3,3,33,36,"you will never truly know just how damaged a person is, until you try to love them."
"74",74,51,7,12,2,8,20,"i cannot make you understand. i cannot make anyone understand what is happening inside me. and i cannot even explain or understand it myself"
"75",75,77,4,7,1,5,6,"you dont know pain until you are staring at the mirror with tears streaming down your face, begging yourself to just hold on and be strong."
"76",76,20,3,4,1,41,31,"\""I can't tell you what it really is, I can only tell you what it feels like\"" -ga"
"77",77,11,0,2,0,40,47,"Capitalism is destroying the world for the sake of monetary gain. Happy birthday, America!"
"78",78,62,2,8,0,7,21,"do you ever miss the person that you used to be? before you got your heart broken, before you lost someone, or before your family fell apart"
"79",79,73,6,12,4,0,5,"i hate when i'm alone, i think, and when i think i remember, when i remember, i feel pain, when i feel pain, i cry, when i cry, i can't stop"
"80",80,22,4,18,1,16,39,"i hate how i overthink and overreacted to everything so easily."
"81",81,17,2,5,1,41,34,"We are living during the dusk of mankind."
"82",82,55,3,5,1,14,22,"silence is a girl's loudest cry. you can always tell she's really hurting when she starts ignoring you."
"83",83,76,2,4,3,4,11,"have you ever been so sad that you just really want to be alone. but at the same time you really wish there was someone who you can talk to."
"84",84,34,2,26,1,14,23,"do you ever feel the need to ask someone if they actually still want you in their life because it always feels like they don't really care."
"85",85,35,6,7,2,14,36,"you know the feeling when someone hurts you and you dont feel like talking to them but to not make things worse you just talk to them nicely"
"86",86,52,4,19,3,9,13,"honestly, i’m scared i’ll never get better again. i'm scared i’ll always stay twisted like this, and grow old and just simply waste away."
"87",87,69,7,5,4,5,10,"she might be laughing but deep inside she's hurting, she's trying to get her mind off things that make her upset by pretending to be fine."
"88",88,56,1,9,3,16,15,"it's so painful to say goodbye to someone you don't want to let go, but more painful to ask someone to stay when you know they want to leave"
"89",89,45,2,14,1,2,36,"when i’m hurt, i shut down, i turn into a total bitch i shut off my emotions i act differently towards everything and everyone and i hate it"
"90",90,12,3,3,4,62,16,"RT @pinkxclouds: good question: why block or unfollow accs that follow the fake acc that computer generates my tweets. answer:  dont want m…"
"91",91,25,3,16,2,6,48,"so this is what happens when you're too nice to people. they start to think that it's okay to treat you like shit."
"92",92,8,4,8,1,12,67,"@00 you're full off shit"
"93",93,8,3,1,4,7,77,"@00 fuck you too!"
"94",94,25,6,5,1,32,31,"@00 do i cry or laugh at this point"
"95",95,27,4,4,2,17,46,"on a serious note, it has really been hell as it triggers my ocd and adhd thats the worse part of this"
"96",96,50,1,9,3,24,13,"If it makes you feel better, everyone else is miserable too."
"97",97,13,1,1,3,54,28,"My friends dog bit me :( -tg http://00"
"98",98,8,4,3,1,38,46,"@00 really? did you forget to unfollow me of course you did!"
"99",99,12,2,4,3,56,23,"@00 yeah, it just hurts when theres pressure on it. I'll be fine -tg"
"100",100,11,5,6,3,59,16,"i'm happy with 18 followers, its not the number its the quality, okay so far it has 67 new followers but they forgot to unfollow me. oops"
"101",101,14,1,5,4,49,27,"yep embarrassing this was about 12months ago http://00"
"102",102,44,4,5,1,11,35,"Its those kinda tweets that make me feel violated and brings back some really bad memory's"
"103",103,18,6,2,5,33,36,"nope, i'm saying nothing!! just a bad situation from last year http://00"
"104",104,21,0,6,2,26,45,"@00 @00 having ocd and adhd its near impossible"
"105",105,19,3,6,4,14,54,".@00 @00 i'm like a pit bull dont let go of shit i'm obsessed can't control my ocd and adhd"
"106",106,29,2,7,2,23,37,".@00 @00 very hurtful to be honest"
"107",107,8,1,5,6,18,62,"@00 fuck off you're not funny"
"108",108,47,18,15,1,11,8,"I dot know why, but I just feel numb today. Like nothingness. -rc"
"109",109,46,12,22,1,12,7,"I don't know why but I feel empty. -rc"
"110",110,10,1,1,3,55,30,"@00 it's been five years for me. -rc"
"111",111,54,1,1,3,16,25,"Sometimes you gotta cry, let it all out. Then touch up your make up &amp; own it. -tg http://00"
"112",112,16,2,2,0,42,38,":musical_note: I am an unlocked door &amp; you're a fucking thief :musical_note: - But Why Would You Care? ~~ Knuckle Puck   -tg"
"113",113,25,4,22,1,7,41,"so this is what happens when you're too nice to people. they start to think that it's okay to treat you like shit."
"114",114,25,9,6,0,6,54,"it’s annoying when you're really fed up with someone’s shit but you don’t want to start something so you have to pretend like you don’t care"
"115",115,12,1,5,9,12,61,"Day 1 of starving -mc"
"116",116,67,3,9,0,1,20,"do you ever have one of those days where nothing goes wrong but you feel like you hate the world and you just feel like breaking down crying"
"117",117,31,4,12,2,20,31,"it kinda scares me that sometimes you never truly know what someone is really thinking or feeling towards you despite what they say to you."
"118",118,16,3,7,3,37,34,"RT @00: you may see me struggle, but you will never see me fall."
"119",119,43,5,23,2,8,19,"all my life i've been judged by people i care about, ignored by those who said they'd never leave me, and hurt by the ones i loved the most."
"120",120,12,1,9,5,32,41,"don’t try to hurt someone on purpose just because they hurt you by accident!"
"121",121,60,3,2,1,10,24,"nothing hurts more than being disappointed by the one person you thought would never let you down."
"122",122,39,28,14,2,9,8,"We got through Monday, so only four more days until we get to experience the pointlessness of existence during the weekend."
"123",123,76,3,12,1,3,5,"i'm feeling like i'm falling apart. i keep trying to make everyone even myself believe i'm okay, but i'm really not. i'm just getting worse."
"124",124,48,3,8,6,9,26,"i forgave you for what you did, but i still die inside every time i think about it."
"125",125,11,1,7,4,56,21,"@00 thank you ! I will :) -tg"
"126",126,81,4,5,3,2,5,"have you ever wanted to cry but no tears came out so you just stare blankly into space while feeling your heart breaks into a million pieces"
"127",127,24,4,3,3,30,36,"i'm the type of person that needs answers and closure because i'm not good at letting things slide without trying to understand how and why."
"128",128,39,1,3,0,27,30,"Sad boys or girls talk to me Kik: Cuttingquote18"
"129",129,68,2,6,1,3,20,"that feeling when you can actually feel the pain in your chest from hearing something or seeing something that just really breaks your heart"
"130",130,39,3,12,0,26,20,"your replies came slower your laughter became softer, your hand stopped feeling tight around mine and i knew then that you stopped loving me"
"131",131,8,2,3,2,66,19,"A drawing i started today (not done) -tg http://00"
"132",132,28,6,12,0,12,42,"i seriously overthink everything, which makes me stress myself out and create problems that weren't even there in the first place."
"133",133,8,2,5,4,66,15,"Trying to get -ga to listen to Mayday Parade, cause they are just perfect.  -tg http://00"
"134",134,26,4,38,9,9,14,"Everything that can go wrong, will go wrong. Otherwise, I'd never have been born."
"135",135,45,3,10,0,2,40,"i hate the fact that i cry when i'm angry and that's the worst thing ever, because you're trying to act tough and mean but instead you cry."
"136",136,25,4,5,1,28,37,"i'm still holding on to something that i know will never happen, because inside me, i have this little piece of hope that someday, it will."
"137",137,68,6,7,5,0,14,"i'm so tired of having to wake up every morning, and knowing that i have to force this smile on my face, to pretend nothing's hurting inside"
"138",138,25,3,31,2,3,36,"i really hate when i say things without thinking, i always end up hating myself a little more each time, knowing i might of upset someone."
"139",139,33,3,4,4,13,43,"it would be nice to be able to go straight to sleep at night for once in my life instead of my mind constantly wandering in a million places"
"140",140,23,5,9,0,14,49,"i'm really tired of having to constantly second guess everyone's true intentions, like damn how hard is it to just keep it real."
"141",141,18,1,4,4,8,65,"hate people who feel the need to have an input without knowing the full story and then when they find out they're like \""sorry i didnt know\""."
"142",142,34,3,31,0,7,25,"i'm never shocked when people let me down nowadays. i just hate the fact that i put myself in a position to be let down in the first place."
"143",143,12,5,6,3,34,40,"if you honestly think people being open about their emotions and their struggles mean they seek attention you really need to grow up."
"144",144,16,3,5,48,13,15,"When works starts feeling overwhelming, just remember that you will be dead some day."
"145",145,39,7,3,3,18,30,"i really don't think people understand just how stressful it is to explain what's on your mind, when you don't even understand it yourself."
"146",146,56,5,9,1,7,22,"i built walls around my heart one brick after the next, with each brick representing another time i was hurt by someone i trusted and loved."
"147",147,35,2,6,2,23,32,"do you ever get in those really weird moods that you can't even explain what you're feeling it's like everythings mixed together all at once"
"148",148,67,2,7,2,9,13,"Bad News: Things are bad and they're getting worse. Good News: ???"
"149",149,82,0,2,2,7,7,"when you're actually feeling good for a moment because everything seems to be going okay, and then something happens and boom sadness again."
"150",150,23,1,5,2,34,35,"what consumes your mind, controls your life."
"151",151,29,5,7,4,26,29,"pain changes people, it makes them trust less, overthink more, and shut people out."
"152",152,62,1,9,1,5,22,"i think i'm afraid to be happy because whenever i get too happy, something bad always happens."
"153",153,18,5,17,3,23,34,"if i annoy you tell me and i’ll leave you alone because nothing sucks more than being unsure of whether someone enjoys your company or not."
"154",154,70,4,3,2,5,16,"depression is when you can’t feel at all. anxiety is when you feel too much. having both is a constant war within your own mind every day."
"155",155,14,5,6,1,36,38,"sometimes i wish i had the brain of a goldfish."
"156",156,58,4,15,1,8,14,"it's like i realized that way down inside, i've always been lonely for something. but i don't know what for and i cant seem to ever find it."
"157",157,64,3,7,3,12,11,"some of us are trying to get through the day without falling apart."
"158",158,49,3,3,16,9,20,"you don't need to be in water to feel like you're drowning."
"159",159,22,2,14,3,30,29,"i can’t make you love me."
"160",160,39,1,12,1,23,24,"how can i make you understand when i can't even understand myself."
"161",161,49,3,12,3,13,20,"i’m completely terrified of being like this for the rest of my life."
"162",162,11,1,1,0,13,74,"@00 fuck off!!!"
"163",163,56,3,13,1,14,13,"RT @00: Falling apart http://00"
"164",164,16,8,4,1,24,47,"First set of exams start tomorrow and end on the 23..wish me luck D: I'm literally under so much stress like I have headaches everyday + -mc"
"165",165,48,4,5,2,1,40,"My whole body also literally hurts like a bitch and I've been so emotional and sometimes I don't sleep at all and others too much -mc"
"166",166,18,2,4,0,21,55,"I really just need to relax after my exams. Take some time to maybe do yoga ? Does that help ? Or meditate ? Idk I'm so desperate -mc"
"167",167,10,3,6,6,12,63,"@00 your hate isn't welcome here. Should be ashamed of yourself for telling someone to go kill themselves -mc"
"168",168,15,2,5,7,32,39,"Don't be such a hypochondriac. It's probably just cancer."
"169",169,14,5,12,2,31,36,"I should've kept it to myself -cq http://00"
"170",170,17,4,25,0,26,28,"I'm sorry -cq http://00"
"171",171,29,9,14,35,7,6,"I want to give up -cq http://00"
"172",172,11,1,12,72,1,3,"I deserve to die -cq http://00"
"173",173,10,8,3,2,42,35,"I like fictional worlds better -cq http://00"
"174",174,24,4,15,2,24,31,"Not that you care -cq http://00"
"175",175,27,4,37,3,8,21,"No one cares about my problems though -cq http://00"
"176",176,35,2,32,6,15,10,"I can't seem to understand why I'm here -cq http://00"
"177",177,15,0,68,2,2,13,"I've become a horrible person -cq http://00"
"178",178,17,2,36,1,18,26,"I imagined I'd be someone great -cq http://00"
"179",179,34,2,12,1,22,29,"They always destroy you. Some part of you soul -cq http://00"
"180",180,15,4,9,3,4,65,"Barely slept last night. So stressed and paranoid over exams..I kept on waking up to check the time to see if I over self and shit D: -mc"
"181",181,28,4,8,5,23,32,"Why do I need drama for you to care about my mental health and where I am emotionally -cq http://00"
"182",182,11,4,2,2,51,30,"Turns out I'm an INFP personality type. Means I'm introverted, intuitive, feeling, and perceiving -cq"
"183",183,42,5,3,3,26,21,"It's never okay -cq http://00"
"184",184,36,0,4,2,25,33,"It does physically hurt -cq http://00"
"185",185,23,3,10,3,32,29,"I've realized no one in this whole world knows everything about me. There's just a lot of people who know little bits about me -cq"
"186",186,30,26,13,1,7,23,"I don't see emotion anymore and it scares me -cq http://00"
"187",187,15,4,5,15,29,32,"It's freedom in the worst sense *trigger warning* -cq http://00"
"188",188,31,28,6,3,13,19,"There's no more emotions -cq http://00"
"189",189,16,3,69,0,4,8,"I've accepted I'm a screw up and a mistake -cq http://00"
"190",190,12,2,0,31,33,22,"Drown: bring me the horizon -cq http://00"
"191",191,29,2,5,33,13,18,"Please I can't hang on much longer -cq http://00"
"192",192,21,6,5,3,42,23,"I need to stop -cq http://00"
"193",193,17,2,5,67,2,7,"I can make all the mistakes stop by making my heart stop -cq http://00"
"194",194,10,3,9,66,6,6,"I don't want to ruin anyone's life when I die -cq http://00"
"195",195,12,2,5,1,27,53,"Do you want me to lie to you -cq http://00"
"196",196,24,1,6,1,23,45,"Why am I always worried people can hear what I'm thinking or that I'm speaking my thoughts outloud -cq"
"197",197,11,4,7,72,1,5,"I'm done fighting death off -cq http://00"
"198",198,30,6,3,0,23,38,"When I'm upset -cq http://00"
"199",199,21,2,13,3,25,36,"Why do I keep everything to myself? -cq http://00"
"200",200,68,5,5,4,9,9,"I just want to emptiness to go away -cq http://00"
"201",201,20,3,11,2,29,35,"I'll never find someone to love me because I have to high of Standards -cq"
"202",202,44,4,6,4,12,30,"I always get hurt -cq http://00"
"203",203,8,23,4,2,40,23,"STRIVE FOR GREATNESS!!! ...or maybe just take a nap."
"204",204,38,4,12,0,22,24,"sometimes it's better to keep silent than to tell others how you feel because it hurts knowing they can hear you, but not understand you."
"205",205,38,4,3,3,23,29,"RT @00: Worst kind of pain http://00"
"206",206,33,2,19,12,23,11,"Steps To Happiness 1) Massive head trauma 2) That leads to amnesia 3) That makes me forget who I am"
"207",207,73,2,10,2,5,8,"everytime a sad song starts playing i suddenly realize how miserable i actually feel even if i was feeling fine just the other second"
"208",208,37,2,3,1,16,41,"saying \""i'm happy for you\"" can be one of the hardest things to say to someone you still love especially when they begin to love someone else"
"209",209,32,4,42,1,4,17,"my feelings? oh, don't worry about those, nobody else does."
"210",210,30,2,18,1,19,30,"I really don't understand why you have so much control over my emotions, you make me feel so much while you probably feel nothing at all."
"211",211,36,2,12,5,11,34,"the worst downside of being so shy is that people misjudge you as thinking you're better than others just because you're quiet and it sucks."
"212",212,21,4,68,1,0,6,"i'm sorry that i'm not everything you wanted, and i'm sorry that my best isn't good enough, i'm sorry that everything i do disappoints you."
"213",213,11,1,2,3,63,20,"WARPED TOUR TODAY !!!  -tg"
"214",214,53,7,28,2,2,8,"do you ever feel like you've been abandoned by everybody and the only thing you have left to look forward to in life is completely nothing.."
"215",215,71,8,3,1,10,7,"just another sadderday mourning"
"216",216,44,1,28,1,10,16,"when i am upset and i want to talk to someone about it, i realised they probably wouldn't care or know what to say so i keep it all inside."
"217",217,50,1,3,3,18,25,"do you ever just smell an old perfume or hear an old song, or pass an old hangout spot. and it really breaks you inside for a couple minutes"
"218",218,54,4,17,0,2,23,"i think the saddest thing of all is how i trusted you enough to let you hear me cry when i was at my weakest and i really regret doing that"
"219",219,34,4,16,2,19,25,"the more i let you in the closer we get, and the scarier it is, i'm scared to lose you, but the sad reality is, i know you'll leave someday."
"220",220,16,2,3,44,1,34,"what doesn't kill you leaves you awake at 2 am wishing it had."
"221",221,23,8,7,0,14,48,"constantly overthinking from the moment i wake up until i go back to sleep."
"222",222,25,3,6,2,26,38,"i really don't expect most people to understand me and i'd rather people just leave me alone than judge me on things they know nothing about"
"223",223,72,6,9,5,1,7,"you smile, but all you want is to cry. you talk, but you really just want to be quiet. you pretend like you're happy, but you really aren't."
"224",224,56,4,8,4,13,15,"she would do anything to get rid of her scars, and all of her painful memories. she'd give anything to forget the pain that put them there."
"225",225,16,9,12,1,19,43,"silence doesn't always means yes. sometimes it means \""i'm so tired of explaining myself to people who don't even care to understand\""."
"226",226,60,2,4,1,13,20,"she pretends like nothing happened because she wants people to see her strong only she knows how painful, emotionaly, mentally she really is"
"227",227,9,2,2,2,61,24,"Guys I met an internet friend today !! Its honestly the best feeling ever. I hope one day you'll meet your online friend.  -tg"
"228",228,20,24,5,6,18,27,"i spend my life avoiding any kind of social situations."
"229",229,16,5,8,48,6,17,"dont come to my gravestone and display emotions which you never once showed to me while i was breathing because that could've kept me alive."
"230",230,21,5,6,2,30,36,"You could try eating your feelings, but that shit is gonna be bitter."
"231",231,54,2,26,2,3,13,"everyones leaving me, letting go or just watching me fall and the worst thing is they're the ones who said they would always be there for me"
"232",232,27,13,2,1,25,32,"some people need to realize that there are days when you're not in the right mood to talk or interact with anyone but it's nothing personal."
"233",233,26,3,56,2,5,8,"there's no pain worse than trying your hardest to just be good enough and being replaced by someone better.."
"234",234,17,6,3,2,39,33,"when we were kids we used to fall asleep on the couch and somehow wake up in our beds. i miss that the most."
"235",235,7,2,4,1,68,18,"RT @00: You guys watching movies and TV shows on your phone are super hip and cool, but I think you're missing the bigger picture."
"236",236,11,11,5,3,40,30,"RT @00: I can't even keep up with whatever you all are going on about anymore."
"237",237,31,1,5,4,31,28,"don’t feel sad over someone who gave up on you. feel sad for them, because they gave up on someone who would have never given up on them."
"238",238,73,3,6,1,3,14,"some nights i feel really awful inside and i don’t really know what is going on either, all i know is i hate it, and i really can’t stop it."
"239",239,37,5,6,2,26,24,"memories are dangerous things. you turn them over and over, until you know every touch and corner, but still you'll find an edge to cut you."
"240",240,64,1,9,2,6,18,"i wish there was someone to spill all this hurt out to but there isn't so i'll just sit here and bury it deep inside until it fucks me up."
"241",241,21,1,17,0,26,35,"i'm the type of person that one thing can change my mood completely and i can go from confident to insecure in a matter of seconds."
"242",242,75,1,12,1,4,7,"i can't focus i can't stop thinking and thinking makes me cry. it makes me feel alone and that nobody understands me but me. i only have me."
"243",243,29,3,24,5,5,34,"i have feelings too, but people seem to forget that."
"244",244,29,4,7,5,19,36,"some people say i'm too sensitive but the truth is i just feel too much, every word every action and every energy goes straight to my heart."
"245",245,44,2,3,1,20,30,"it honestly sucks when you have so much on your mind and no one to tell it to"
"246",246,25,5,13,31,17,9,"i am constantly torn between wanting to fix myself and wanting to destroy myself."
"247",247,23,33,9,21,3,11,"。☆ 。☆。☆  ★。＼｜／。★        LIFE IS     POINTLESS ★。／｜＼。★  。☆ 。☆。☆"
"248",248,27,3,13,3,22,32,"you needed me, i was there, i needed you, and suddenly you were always busy."
"249",249,55,4,8,4,18,11,"it's easier to say \""I’m fine\"" when somebody asks if you are okay. because sometimes it's not possible to explain why you aren't."
"250",250,35,5,2,1,7,50,"it's really annoying how one minute you could be so happy and loving, and then the next minute you're hating everything and everyone."
"251",251,26,4,12,2,24,32,"i wish i knew more people who were like me. i feel so different from everyone else."
"252",252,87,4,3,2,1,3,"i hide all my problems behind my smile. behind my smile is a world of pain. you think you know me, but you have no idea."
"253",253,18,2,6,4,14,56,"i'm definitely that kind of person that gets mad and doesn't want to talk to you but gets even more mad when you dont even try to talk to me"
"254",254,14,5,5,2,34,40,"too many people have opinions on things they know nothing about. and the more ignorant they are, the more opinions thay have."
"255",255,85,1,5,2,2,5,"being sad for no reason is worse than being sad for a reason. because there's absolutely nothing you can do to make yourself feel any better"
"256",256,28,5,3,2,12,50,"i need more than just a night of sleep to fix this kind of tiredness."
"257",257,25,5,26,2,8,34,"i'm never shocked when people let me down anymore. i just hate the fact that i put myself in a position to be let down in the first place."
"258",258,29,3,7,0,26,35,"so many people in this world have trust issues because people say \""i'm here for you\"" and then run away as soon as things start to fall apart"
"259",259,33,7,4,43,0,13,"i should wake up feeling glad but i dont. i want to go back to sleep and stay that way forever. i dont want to wake up. i want to give up."
"260",260,21,7,6,2,24,40,"if i can't trust you with my life, i'm not letting you into it. simple to be honest and i don't know why is it so hard for you to understand"
"261",261,25,4,5,3,7,56,"sleeping is so hard when you can't stop thinking"
"262",262,20,3,37,4,14,22,"i wish someone was afraid to lose me i'm always scared of losing people that i love but i doubt anyone would fight to keep me in their life."
"263",263,76,2,7,1,5,9,"what's painful is when you're on the brink of crying and falling apart. and you have to really force it in. so people can't see you breaking"
"264",264,30,6,7,6,20,31,"i need someone who will understand how unstable i am, sometimes being alone can be dangerous for me but other times its exactly what i need."
"265",265,14,2,3,2,11,68,"Oh how much I hate my mother.  -tg"
"266",266,11,4,5,2,12,66,"i wanna be a jellyfish and sting everyone who annoys me"
"267",267,38,5,8,1,3,45,"sometimes i get a little fed up fighting so damn hard every single day for something i should not have to fight for at all."
"268",268,53,5,7,1,4,30,"some people are so emotionally drained that even sleep doesn't do anything. you constantly wake up still tired. and It just doesn't go away."
"269",269,30,2,3,0,29,36,"But through all the bullshit &amp; terrible things, you just gotta keep on smiling, &amp; pull through it. -tg http://00"
"270",270,14,3,5,2,4,72,"I'm just really really annoyed.  -tg"
"271",271,13,2,4,1,3,77,"Okay. Now I'm getting very pissed off.  -tg"
"272",272,18,2,6,4,5,65,"I'm so fucking done living with them. -tg http://00"
"273",273,16,10,4,5,39,26,"We are spectators to a crumbling empire. Have a great Monday!"
"274",274,32,2,49,1,3,13,"No one cares about me.  -tg"
"275",275,30,3,8,2,31,26,"They act like they do, but when I really need them... They're no where to be found.  -tg"
"276",276,14,3,2,1,45,35,"I honestly just need that one person who does.   -tg"
"277",277,17,1,7,47,16,12,":musical_note:Ive had enough Theres a voice in my head Says Im better off dead But if I sing along A little fucking louder to a happy song Ill be alright"
"278",278,29,1,40,2,6,22,"Everyone leaves me.   -tg"
"279",279,20,4,32,1,11,32,"I wish my parents would actually let me be myself &amp; not ashamed of me &amp; my interests.  -tg"
"280",280,61,8,3,1,11,16,"I like to pretend that everything’s alright. Cause when everybody else thinks you’re fine, sometimes you forget for a while that you’re not"
